review,bug_report,improvement_request,rating,others
البرنامج مرههههه حلوووووووو احمله علاشن العب حليب للشوكو و يحفض التختيم واواو شكرا علا البرنامج الحلو شكراااااااا,No,No,Medium,No
في مشكله كل ماجيت ادخل التطبيق يخرج لحاله,High,No,No,No
افضل برنامج على الاطلاق,No,No,High,No
الان زباله اريد اخش يقول الاتصال مقطوع,High,No,Medium,No
"جزى الله خيرا القائمين على البرنامج ومن ساهم في انقاذ الارواح وجعل ماقاموا 
به من جهد في ميزان حسناتهم",No,No,High,No
والله إن ماين كرفت أحتنلعبة في العاااااااااااااالممممممممممممممممممممممممممممم لاكن يوم تلعب ماين كرفت ماتقدر تعدل الرأية والله قهر,Medium,Low,High,No
"هذا التطبيق لاعلاقه  له لبرنامج او تطبيق ابشر 
ابشر تطبيق حكومي رائع  اما هذا التطبيق غير معروف المصدر وتلاحظ اخر خدمه في التطبيق كلمة زوي الاحتياجات الخاصه  ويقصد به ذوي الاحتياجات الخاصه 
لا انصح به وتعامل مع تطبيق ابشر مباشرة",Low,No,Medium,Medium
تطبيق عالي الجوده ويحتاج عشره على عشره ..,No,No,High,No
انا شفت ورع يلعب ومات 😭😭😭,No,No,No,High
بأبي أنت و أمي يارسول الله,No,No,No,High
اني اريد اسئل هية على النت 😞,No,No,No,High
اتمني اضافة لوحات السرعه ف الشارع علي قوقل ماب بحيث يظهر ل سائقين المركبات سرعة الشارع الذي يسيرون عليه بدون الحاجه للوحات الارشاديه وشكرا,No,High,No,No
اللعبه جدا حلوه ولكن مشكلتها بعض المراحل تاخذ ايام عشام تفوز فيها و الحقيقه هذي شي ممل مره و يطفش,Low,Medium,High,No
من المستحيل تسجيل موعد تطعيم كورونا رجاء ساعدونا,High,Low,No,No
السادة الكرام بقوقل بلاي انا لدي ٤ جهزة يستخدمها اطفالي مو معقول اشتري اللعبة ٤ مرات ربطهم بميزة العائلة وضعت ايميل بتلك الاجهزة.. ارجو منكم العقلانية وعدم الاستغلالية,Low,Low,Low,Medium
جميل لاكن للاسف وصول محدود اغلب المطلوب واللي تبغا غير موجود في التطبيق,No,Low,Medium,No
اللهم صرف عنا هاذا الوباء وعن جميع امة محمد,No,No,No,High
يرجى عمل تحديث للبرنامج لأنه يفصل مره وحده ويخرج أثناء العمل ويتوقف تلقائيا فيرجى معالجته مع إضافة شيء للتشويق بداخله وشكرا,High,Medium,No,No
البرنامج منتآز نوعن مآ,No,No,High,No
للاسف بعد التحديث يجيني تعذر الاستفاده من الخدمات يرجى المحاوله في وقت لاحق,High,No,No,No
الرجاء عدم التأخير,Low,Medium,Low,No
عاجل😂 الي معه فري فاير 😂 يحذفها😂لانها😂ماسونيه 😂ولي😂مش 😂عارف😂العين😂الماسونيه😂هي😂عين الدجال 😂وهاذي نصيحه لكل من معه فري فاير😂وشكرا😂اسمي وسام😂تحياتي من المغرب😂,No,No,No,High
والله البرنامج بطل انصح الجميع يشترونه,No,No,High,No
اتطبيق سراح حلو بس فيه مشكله المشكله هي انا سعر الطلب يجي اغلا 💛👈👉💛☹️☹️,No,Low,Medium,No
على حسب المرجعيات هذا تقيمى ريما يتساهل أكثر من كده ولا كننى تحت التجربة أضافه إلى ذالك أنها بلاد الحرمين الشريفين حفظها الله ورعاه,No,No,High,No
انها لعبة رائعة ولكن السحب في الجواهر كله ثلاثت نجوم ارجو حل هذه المشكلة الرد بسرعة و شكرا,Medium,Medium,Medium,No
سيئ جدا أنصح الجميع بعدم تنزيله,No,No,High,No
حفظت عدد من الفواتير  والضمانات وبعد فترة من الزمن محيت من التطبيق بعد مدحته عند اصدقائي,High,No,Low,No
التطبيق كان ممتاز الفترة الأخيرة صار سيء جداااا وكل فتره يعلق ويخرجني من التطبيق,High,No,Medium,No
انا ساكن بالرياض وجميع الذين القاهم في جدة لماذا هذي الحركات اريد ان اقابل الاشخاص الذين بالرياض,Medium,Low,No,No
ممتاز حسن جدا يستحق مليار نجمعة حياكم الله,No,No,High,No
جدا رائع مفيد للوطن الرائع والشعب👍😎,No,No,High,No
هى حلوا كثير كثير بس المشكلة انك بتمل منها بسرعة كثير,No,No,High,No
يحتاج تطوير و اضافه الشات,No,High,No,No
انا تسكر احسابي ومادري وش السبب من امس وياليت تفيدوني ادخل علي البرنامج يقول موقف الحساب من برنامج حكونا وانا مسويت شي يعني وياليت تفيدوني ولكم جزير الشكرا,Medium,Low,No,No
لعبة فاشله من الاخر شحنت مرتين ب٤٤٠ وبعد شكاوي عوضوني صناديق ب٧٨😂😂😂😂 تم تعديل التعليق الى معتزل ونصيحه صادقه اتركو اللعبه ..,Medium,No,Medium,No
يعلق كثير ولايفتح لازم تحذفه وتحمله مرة ثانية وبعد كذا يوم تتكرر نفس المشكلة,High,No,Low,No
لم استلم رساله التفعيل طلت رمز التفعيل اكثر من مره و لم استلمه على جوالي,High,No,No,No
برنامج كان جميل وللاسف صار كله يعلق ولم استفيد منه في رفع اجازات,High,No,Low,No
اللعبة حلوة بس ناقص لها شوية حاجات 1- أن اللاعب يقدر يتحكم في جميع ازرار الطائره زي لعبه X-plane 10 2- أن تكون اللعبة بدون نسخه برو تكون كل الطائرات بدون اشتراك أو يكون في اكتر من 3 طائرات مفتوحة وفيه مشكله في اللعبة أنا المفروض كل ما أنا ابقي علي ارتفاع اكبر تبقي سرعة الطائرة أسرع لاكن بيحصل العكس سرعة الطائرة بتقل جدا وياريت يكون فيه تحسين في الطيار الآلي لانة مشوش شوية والسحابة الي الطيارة بتعملها في الجو تكون واقعية اكتر وتخلو السحاب واقعي شوية وأصوات الطائره تكون احسن شوية :- (شكرا),Low,High,Low,No
ما أنصح بتحميله لا يوجد فائده تذكر,No,No,High,No
اشتريت مجوهرات ٣ مرات وماجاتني الا مرا واحده ليش,High,No,No,No
مافيش لغه عربيه ارجو اصلاح المشكله,Medium,High,No,No
هناك خطأ رقمي لماذا لم يتم الحجز تم شراء خدمة نقل وميعاد 22 /01 متاح لماذا هذه الاخطاء,High,No,No,No
هاي اللعبه حلوه و ممتعه 😊 بس للاعمار ما فوق 12 سنه يعني مو للاطفال الصغار 😕,No,No,High,No
الهبة. ووووووو وووووووووووو وووووووووووو. وووووووو. وووووووو.,No,No,No,High
جميله جدا هل يمكنكم اضافة شاكوش ثالث نتمنى ذلك من المطورين,No,High,Medium,No
ليش مينرسل بليتوث أذا أرسلته ماتشتغل ليش ممكن تشوفو حل لو سمحتو,High,Low,No,No
طلبت منه مرتين مره من دانكن وغلطو بالطلب ماكنت ابي سكر وحاط سكر واليوم من ماك طالبه ساندوتش بدون وجبه وجايني بوجبه وطالبه دبل لحم جابلي وحده ولارجعو فلوسي,Medium,Low,No,Medium
برنامج جيد بس ناقصه تطوير في تخفي أكثر أثناء التصوير ولاكن جيد و عملي,No,High,Medium,No
يحتاج الى تطوير افضل,No,High,No,No
شكرا علي دعم البشرية,No,No,Low,High
هلاوسهلا اشبكه كانت مقطوعه وهذه هورقمي ٧١٦٧١٥٩٢٠,No,No,No,High
شكرا لولاة امرنا ونشكر القائمين عليه,No,No,Low,Medium
نصابين ، لاحدا يشتري من المتجر ، بالآخر خسران قد ماشحنت رصيد راح تخسرو ، توزيع الورق بيعتمد الذكاء الاصطناعي مستحيل يخليك تضل ربحان دائما ، راح يحاول يوزع ورق ضدك لحتى تخسر خصوصا يلي بيشتري من المتجر التوزيع كله ضده ، ورسوم المسابقات عالية كتيييييير مثلا بلعبة الهاند مندفع رسوم لازم تربح مسابقة من كل مسابقتين حتى تضمن مايخلص رصيدك ، أما المنطق فنحن اربع لاعبين لازم أربح وحدة من كل 4 العاب حتى حافظ على رصيدي ، تفوووووووو عليك كل التطبيقات العربية نصابة.,No,Low,High,No
لا يدعم صوت معظم الافلام ..اتمنى ارجع فلوسي,Medium,Low,Low,No
بصراحه اني لما نزلة هدا تطبيق متوقتش يكون نفسه مدجر للعاب نفسة مدجر القديم بصراحة اني كنت نفتح في هدا تطبيق على خاطر نبي اننازل ماي بلاي هوم و اني نبيكم تنصحوني ارجو الايجابة يا احلة ناس😘😘😘,No,No,No,High
اللعبة زفت زفت ما تفتح مع أن المساحة في تلفوني تكفي. ما طايع يفتح زفت الزفت حتا ما تستاهل النجمة لعبة كلبة زفت,Medium,No,Medium,No
احسن لعبة في حياتي لكن في حاجة مش اي حاجة نشتريها لازم شحن لو نحن مش هنعرف نشحن نعمل اي,Low,Low,Medium,No
التحديث ممتاز واتمنى الاستمرار في التطوير شكراً لكم,No,Low,High,No
"يحتاج الى اصلاحات كثيره اهمها القوائم وطريقة تشغيل الفيديو 
وتصغير الفيديو وانتقال ال ١٠ ثواني السريعه بالنقر",No,High,No,No
يوجد مشكلة في التطبيق أرجو حلها,High,Low,No,No
لا استطيع الارسال ؟,Low,No,No,Medium
أنطي 3 نجوم من أصل 5، اي بمعنى ينقص البرنامج شغلتين لكل شغلة نجمة، لْـۆ كانت هناك ميزة لنشر اليوميات والستوريات واتمنى بأن تضيفون خاصية تسريع بالأداء لأن كولش تحميل الفديوات والصور كل ثكيل وممل برنامج ممتاز بس حسنوا سرعة الأداء وخاصية نشر اليوميات,No,High,Medium,No
واضح وسهل ومتوفر به جميع الخدمات,No,No,High,No
جميل جدآ. جدآ.جدآ .....  💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋,No,No,High,No
من أسوأ التطبيقات اتمنى يكون هناك جهة رقابية مهمتها متابعة التطبيقات الحكومية,No,No,High,No
وت ايش ذى 😭😭😭😭😭😂😂 لاحول ولاقوه الا بالله 💔😭😭,No,No,No,High
حلو بس يحتاج تحسينات اكثر اتمنى يطوروه وويتعاملون بجدية مع الشكاوى ضد مقدمي الخدمة,No,Medium,Medium,No
ليش فيه مسلسلات مو مترجمة مع انه فعل خاصية الترجمه ؟ ماهو الحل,Medium,Low,No,No
لعبه خرا يا تفوزك دوم او تخسرك واللي يحط علم دوله غير خليجيه دايم يفوز واغلبا ف زق لعبه تفو,Low,No,High,No
لعبع جميله بس في اشي ما رح احكي الكل ينزله ويشوف,Low,No,High,No
سيّء جداً تقريباً ساعه عشان يوصل الطلب ، وش الفايده اطلب دايركت من المطعم نفس الوقت وأقل سعر توصيل,No,No,High,No
لعبة وحشة أوى لدرجة مبالغ فيها و قعت مستنية يحمل بس مرضاش يفتح بعد ما خلص تحميل😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,High,No,Medium,No
"السلام عليكم، 
الأزارير كلها في التطبيق ما تشتغل، 
بالإضافة إن الاختبارات حق المبرمج جالسة تطلع لنا، 
وكمان مافي أي مواعيد ما يمدينا نحجز،

الله يوفقكم ويعطيكم العافية",High,No,Low,No
سلام عليكم اخي شركة هالو يو قبل كم يوم شحن جواهر و شحن ما وصل على حسابي ممكن اعرف ليش,Medium,No,No,No
انا سيف النار الصاعقة اريد ان اعطيكم خمسة نجوم لأنها تستاهل اكثر من ذالك وشكرا.,No,No,High,No
مدري ليش ما يفتح اصلان ما زعلانه 🙂💜🍡🐰🌞🐯👑🐱,High,No,No,No
انها لعبه جميله وحلوه جدا وتنصح الاخرين ان يجربوها واشكر مصمم هذه اللعبه,No,No,High,No
لم أتمكن من الدخول على التطبيق باسم المستخدم. كلما ضغط على الأيقونة ينغلق التطبيق..,High,No,No,No
مش اوي بس كل مكلم حد يقولي البرنامج يقولي اشحن,Medium,No,Low,Medium
التحديث الجديد قللو والمجوهرات والذهب حتى في عملية الشراء,No,Medium,No,No
لم يتم تحميل التطبيق مع تكرار المحاوله,High,No,No,No
"رائعه بس لو اللاعبين يفهمون ان الله واحد في اللعبه وبرا اللعبه ويبطلون يحلفون بالله كذب كان بخير والاخلاق وحده حتى باللعب
وياليت يغيرون بمقاطع الفيديو اللي خانق المره لانه خنقنا",No,Low,Medium,No
"غير مستفيدين منكم 
قبلكم كنا نعرف نتفاهم مع الشركات بوجودكم ضيعتو حق المواطن",No,No,Medium,Medium
رمز التحقق لا يصل التطبيق لا يعمل على ايفون,High,No,No,No
تطبيق جميل جدا وأنصح بتنزيل هذا التطبيق ويستحق 5نجوم,No,No,High,No
جزاك الله خير,No,No,No,High
بس انا ادخل الحصة بعض الحصص يحط عندي كا أني المنظم إلي سو الحصة يعني عندي كتم صوت المشارك أزلت من الاجتماع,Medium,No,No,No
مسلي لكن الحصول على النجوم صعب جدا..وشراء اي شيء بثلاث نجم او اكثر,No,Low,High,No
العبه رهيب ورب الكعبه رهيبه انسحكم تجربوها,No,No,High,No
التطبيق مايشتغل اول ما اضغط عليه يخرج تلقائيا,High,No,No,No
لماذا يرد علي انه لا يمكن الاستفادة حاليا الرجاء المحاولة في وقت لاحق مع العلم اني حاولت في اوقات مختلفة ماهي المشكلة ارجو الرد,High,Low,No,No
الصراحه من افضل المواقع و اشياءه مضمونه 100% .,No,No,High,No
اداره فاشله لأن كل شئ في اللعبه عن طريق الشحن,No,No,High,No
سيء يتأخرون ومافيه رقم للتواصل بس تنتظرون لو تطلبون من تطبيقات التوصيل افضل,No,Low,High,No
رجعو التحديث القديم لان تحديثكم كرهني فيها صرت بوته,Low,Medium,Medium,No
فيه مشكلة اذا فتحنا التطبيق يعيدنا الى التحميلة مرة اخري أتمنى ان تجدوا حلا,High,Low,No,No
اللعبة جداً جميلة و ممتعا ولاكن لا اعلم لماذا عندما اقتل عدد كثير من اللاعبين دون ان اموت يتم حظر حسابي لمدة يوم؟؟,Medium,Low,Medium,No
انا بحب اللعبة كتير بس التحديث خربها لو سمحتو رجعو اشكالهم,Low,Medium,Medium,Low
البرنامج نسبه مشاهدته قلت بسبب التحديث الأخير ياريت يرجع لإصدار القديم,No,Medium,Medium,No
يا شباب هاذي اللعبه هي القمار والقمار محرم شرعاً انتبهوا يا شباب,No,No,No,High
ياليت تحطون خاصيه يمدي تقفل المشاهد اذا ما تبي حد يشوفك تلعب,No,High,No,No
تطبيق جبار الف شكر للقائمين عليه,No,No,High,No
بسبب المشاكل إلي بالعبه تستاهل نجمه وحده,Medium,No,Medium,No
جيد جداً وإلى المزيد لو تنزل الفواتير شوي,No,Low,Medium,No
تم حظري من التطبيق بدون اي سبب,Medium,No,No,Medium
اتمنى يعطو جوائز توكنز في التحديات,No,High,No,No
جميله جدا بس انا في المستوى 254 ممكن تنزلو عروض في العبه,No,Medium,Medium,No
كاتبين فالتحديث انه تمت اضافه عامل مجد جديد كيف بيضهر عند البعض والبعض لا,Medium,No,No,Low
"تطبيق يعجبني الا بنقطتين المحفظه رصيد ينتهي بسرعه او مايحسب لي المره القادمه و كذا لعب واستهتار بعقول عالعملاء 
و ثانيا التوصيل صار قيمته جدا عاليه ومرتفعه وكذا نضطر نتعامل مع تطبيقات اخرى",No,Low,Medium,No
افضل لعبه في التاريخ,No,No,High,No
شكراً على البرنامج الرائع والتواصل الجميل,No,No,Medium,Medium
زلاوظتبغتنعل فإن جاهدة شنط ماركات شنط ماركات شنط تقليد ماركات تقليد ماركات شنط تقليد ماركه درجه على مقياس ريختر يضرب في اسمي على كل حال اي شي صور من حبل الوريد الكلوي المزمنمم كل سنه وانت طيبه يا قمر على احلى من العقد على كل حال اي شي يا حي يا قيوم برحمتك لا قوه على كل شيء من حبل الوريد الكلوي المزمنمثم كل سنه وانتم بخير يا لإفراغ كل ترباؤسؤ يقوم ذلك رد,No,No,No,High
الي اختار المنطقه الي انا فيها مافيه خيارات بس الرياض,Medium,Low,No,Low
يحتاج الى تحسين يفتح بالشهر مره وباقي الايام مايرضى يفتح مدري وش سالفته,High,Low,No,No
اليوتيوب كله اعلان الله ياخذكم,No,Low,Medium,No
مسلسل من خمس مواسم واللي تعرضونه موسم واحد بس وش الفايده ليش مايضاف جميع المواسم هذا غير الثقل التطبيق والواجهه السيئه نصيحه لاتشترك معهم,Low,Low,High,No
كل ما جيت اعلي الاضاءه او اشوف الرسايل وانا العبها تجي تطلعني وتوديني للتقييم,Medium,No,No,No
اهلا ماين كرافت لديه مشكله هي لا استطيع الدخول مع صديقي يخبرني غير قادر على الاتصال مع العالم ماهو الحل,Medium,No,No,No
ماتطلعلي الصووور ولاحتي الاشياء الي تنشي ولا الهدايه ليه؟؟؟,Medium,No,No,No
اين موقعكم من اللغة العربيه ؟ اين الترجمه؟,No,Low,No,Medium
معلق على طول ، جاب لي المرض.,Medium,No,No,No
برنامج زبالي وبيحظرو المستخدمين بدون سبب,Low,No,Medium,No
بتمنا انا ادروهم متاحة ومش بي الفلوس 😒,No,Medium,Medium,No
من كثر ما عجبني ودي اتزوجه لبى الكروم,No,No,High,No
التطبيق هو المفضل لدي لكن تغير الوضع بعد الحظر ، أثبت التطبيق فشله في التعامل مع الضغط ، مشاكل كثيرة لاحصر لها ادت الى توجهي لمرسول كحل افضل واكثر اعتمادية,High,No,Medium,No
جهد تشكرون عليه لا حرمكم الله الأجر لكن أرجو التكرم بإضافة اللائحة التنفيذية لنظام المرافعات كما أرجو إيجاد حل للخروج من البرنامج حين التراجع .. لكم وافر الشكر,Low,High,Medium,No
رغم أهميته لانستطيع شراء شي من المساحات حيث يرفض التطبيق عملية الشراء,High,No,No,No
صعوبة في تسجيل الدخول أو استعادة الرقم السري حتى تسجيل جديد ما ضبط معي,Medium,No,Low,No
بعض التعقيدات مع مرور الوقت تتأقلم عليها,No,No,High,No
تخيلوو البنات بالجيش ..!! البنت : اناا ما بشييل هذا السلاح اليوم ..🔫 الظابط : لييش ؟؟ البنت : هذا السلاح قبل اسبوع شافوني فيه بالمعركه ..🌚🔕 😂😂😂😂,No,No,No,High
لو تلغو صورة البصق يكون افضل,No,High,No,No
للاسف الي يومين احاول افعل التطبيق وبيفشل,High,No,No,No
  اجمل تطبيق  رووووووعه        ,No,No,High,No
قلة حيا في قلة حيا,No,No,Medium,Medium
فاشل وتفعيل البلوتوث يستهلك البطارية بشكل كبير على الفاضي واذا اقتربت من مريض كورونا لن يخبرك انك اقتربت منه لانه لم يسجل انه مصاب في التطبيق او انه لا يشغل البلوتوث,Medium,No,High,No
اللعبة مرة مو حلوه كل شوي تطلعني,Medium,No,Medium,No
لا سهوم ولا تعليم ولا شي ولا حتي يعلموك وين تروح,No,Low,Medium,No
كيف اسوي رمز اتفعيل,No,No,No,High
نسبة الصرافه فالمجوهرات لا تتناسب مع الدعم الممنوح من الداعم,Medium,No,No,Medium
ما يشتغل من امس احاول فيه,High,No,No,No
للاسف اخر تحديث كل ما تدخل التطبيق يقولك فيه نسخه جديده ويجبرك تطلع، كم شخص فاته حجز عمره بسبب هالمشكله، حسبي الله ونعم الوكيل,Medium,No,Low,No
ولافيه اي اختلاف اين الجديد,No,No,Medium,Low
حلو بس ما جاب نفس الاعلان كانت في شخصية سانس,No,Low,Medium,No
"عند تحديث المعلومات والبيانات
تاتي رساله مكتوب فيها يوجد لديك طلب تمويل من احد البنوك 

لماذا لا يذكر اسم البنك والمعلومات كامله حتي يتم التحديث والاستفاده من الخدمه 
للاسف تطبيق غير مفيد ومربك",Low,Medium,Medium,No
لا تكثرون من وقت اللعب وبس,No,No,No,High
برنامج ممتاز انصح بتحميله,No,No,High,No
اللعبة جميلة لكن فطع الاتصال فيها كثير  ، باللعبة الواحدة ينقطع الاتصال 8 مرات,High,No,Medium,No
سيء... أرجوا أن يتوفر التطبيق على خاصية إضافة الترجمة عند مشاركة الفيديوهات من الهاتف إلى التلفاز على الكروم كاست,No,High,Medium,No
نبي خدمه الدفع عند الاستلام,No,High,No,No
"تطبيق رائع وشامل لاغلب الاحياء 

الحلو فيه تنوع المطاعم وتوفر خيارات كثير",No,No,High,No
انتم تقتلون اللاعبين ببطئ اللعبة ممتعة ولكنها تقتل الذي لايدفع,No,Low,Medium,No
عندي مشكلة وضعت على خيار عندي حساسية بالغلط 😓 وأرسلت الطلب ابي أعدل الطلب ما فيه خيار التعديل بعد الإرسال..يقول الطلب بنتظار الموافقة أنا أحتاج اللقاح لأني أخذ أدوية مثبطه للمناعة لأن مسوي زراعة الله يرضى عليك حكومة خيار تعديل الطلب السابق هذا مو صعب وكلنا نخطي لذلك عطونا فرصة نعدل الطلب والتطبيق رائع وسلس ولكن 3 نجوم بسبب عدم أمكانية التعديل على الطلب المرفوع وهذا راح يأثر على أهلية العلاج,Medium,Medium,Medium,No
اتمنى اضافة خاصية تقديم ١٠ ث وتاخير ١٠ ثواني مثل تطبيق نتفلكس,No,High,No,No
"التصريح معلق وحذفته وحملته مره ثانيه ولا اشتغل مره ثانيه 
تورطت فيه",High,No,No,No
كل ما فتحنا البرنامج يبلغنا بوجود تحديث و يحولنا الى اب ستور,Medium,No,No,No
ولله العبة رهيبة ما يكررها التاريخ ❤❤❤😍😍😍❤😍😍❤❤❤❤❤❤❤❤❤❤😍❤❤❤❤❤❤❤❤❤❤😍❤😍❤😍❤😍❤😍❤😍❤,No,No,High,No
بصراحة خطوة ذكية لتعرف الحالات المصابة من حولك,No,No,High,No
دوله فسلطين عاصمه القدس ولانسمح لكم بستبدالها بااسرائيل,No,No,No,High
تم حذف اللعبه بنجاح . مو معقوله كل قيم يطلع اعلان,Low,Low,Medium,No
أرجو إضافة اللغة العربية سريعًا,No,High,No,No
في عطل في التطبيق في حال رفع بلاغ يعطيك ان لا بد ان تكون احدثيات البلاغ داخل المملكة لها اكثر من فترة,High,No,No,No
سهل جدا ومريح الله يوفقكم جميعا شكرا لتسهيل المراجعات,No,No,High,No
لعبة جميله جدا ارجو مزيداً من التطوير بها مع الشكر والتقدير,No,Medium,High,No
شكراً من صميم القلب,No,No,Medium,Medium
نبي افلام جديده,No,High,No,No
اتمنى تحطون خاصية الغاء الطلب او تواصل عن طريق البرنامج لان هذا الي يعيب البرنامج ولا كل شي تمام عشان يطلع افضل برنامج اضيفو خاصية الغاء الطلب ايقونة بسيطه في البرنامج وبطريقتكم عاد وصدقني يطلع افضل برنامج,No,High,No,No
ماتصلح لا أطفال,No,No,Medium,No
للاسف لايفتح بسهوله واجراءاته معقده,Low,Low,Medium,No
حاولت التسجيل برقم الجوال ولكن لاتصل رساله التفعيل ما المشكله,High,No,No,No
كل اللي يعلقون ويقولون ممتاز اولياء امور يعني مو هم اللي يدرسون والله انا ماني فاهمه ولا حاجه فيه مشاكل كثيره هوه وفي تيمز رجعونا حضوري انا ما ابغا ارسب ورايه مستقبل وبعدين يجون اولياء امور عاجبهم الوضع لانهم مو زي قبل الابو يودي والام تلبس وذلحين يفتحون جوالهم ويفهمون مايفهمون مايهتمون وبعدين يجون يقولون ممتاز واحنا اللي راح يروح مستقبلنا,Low,No,Medium,Medium
لا يستحق التحميل يوجد اعلانات داخل التطبيق ولابد من الشراء داخل التطبيق وهذا غير واضح عند التحميل جاري الحذف في سلة المهملات,No,No,High,No
اللعبة خورافية بس ناقصها اللغة العربية على شان تكون مفهومة للعرب,No,High,High,No
ارجو التطوير انه لا يعمل الان في الاندرويد,High,Low,No,No
الصراحه عجبتني اللعبه يعني ما اقدر اوصف لكم كيف هي جميله و مره حلوه مره مره مره يعني انصحكم تحملوها اللي اعجبني فيهم انه هي يخلونك تختارين نوع اللعبه كيف كيف تخترق حدي الصراحه الجني ياكل مره مره حلوه انصحكم يحملونها المسح كم تحملون هذه اللعبه بصراحه مره حلوه انا عجبتني لما اعجبتكم واو سو نجمه انا اعرف اذا سويتي ما تبغى ما تبغى صراحه كيف اشرح لكم حلاوتها وفاء هذا هو الكلام بس اللي عندي اقدر احكي اليكم,No,No,Medium,No
"نشكر لكم اهتمامكم الدائم بتطوير التطبيق

لم اتمكن من عرض ضبط الجلسه ولا من امكانية عرض منطوق الحكم وملحقاته   
الرجاء مراجعة التحديث والتأكد من الأخطاء واصلاحها",High,No,Low,No
"عليهم لعنة الله والملائكه و الناس اجمعين 

على كل مقصر في عمله وكل مسؤل لاعب",No,No,No,High
"بدأ يفقد محبيه والاقبال جدا ضعيف الحين تدخل الرومات قليل الي يسولفون وهذا 
كله ذنب المبرمجين ومتحكمين البرنامج انهم ماعرفو يتصرفون",No,No,High,Low
كزب كزابين بليز لاتحملو هايي اللعبة😠,No,No,Low,Medium
الى الافضل إنشاء الله في التطور والتقدم والازدهار الاقتصادي والاجتماعي والثقافي,No,No,No,High
البرنامج جيد ولا كن يوجد عليه ناس تقول كلام قبحى,No,No,High,No
نصابين انتبهو كيف نبلغ عنهم,No,No,Medium,Low
مش عارف احجز عمره من شهر ١١ميلادي,Low,No,Low,Low
لعبه مو اخلاقيه عشان اللعبه دي عشان فيها حجات مش اسلاميه ياريت تعدلو اللعبه وتشيلو موعد مع الفتاه بعدها هحب اللعبه لبس مو صالح للبس حرام وسلام عليكم ورحمه الله وبركاته,No,High,Medium,No
حلو بلا كلام بس ليش بعض الاحيان يطلع وقت إذا دخلنا مع احد ليشششششش ارجو حل هاذي المشكلة😡😡😡😡😡😡😡😡😡😡😡😡🙅🏻‍♀️🙅🏻‍♀️🙅🏻‍♀️🙅🏻‍♀️🙅🏻‍♀️🙅🏻‍♀️🙅🏻‍♀️🙅🏻‍♀️,Medium,Medium,Medium,No
"البرنامج جيد جدا
ولكن يوجد خطأ في ارقام التواصل 
رقم الطوارئ المسجل ٩٩٣ وهذا خاطئ ليس رقم الكهرباء

رقم طوارئ الكهرباء الصحيح  ٩٣٣",High,No,Medium,No
اقيم ال لعبه حرف من قيكك,No,No,Medium,Low
الاعلانات سارت كثير ياليت يرجع زي قبل بدون اشتراك,No,Medium,Medium,No
اللعبه تعلق ولا اقدر العب خاص ولا دردشه شوف لكم حل مع التحديث الجديد,High,Medium,No,No
لعب جميلة لن تندم عندم تحماه,No,No,High,No
حاولت ادخل التطبيق مليون مرة للأسف تعبت وما قدرت ياليت تصلحه التطبيق يا مسؤلين الصحة حاولو تدخلو في التطبيق,High,Medium,No,No
تطبيق لايوجد الافضل منه,No,No,High,No
المشكلة هي الكلاب تطلع بكثره وما تموت بسهوله ومن كم ضربة و تأثر على الصحة حتى الزومبي,Low,No,Medium,No
العب مرههه حلوهه حرب الولد بنات ان بنت احبك يا صدقاي مدري العب فههي عيله او البنات مدري ححححححححححححلللللللللللللووووووووووههههههههههه جميله,No,No,Medium,Low
"جميل ان تاخذ المعلومة من المصدر
خطوة رائعة وللامام",No,No,High,Low
ممتاز جدا ساهل جدا شكرا لكم,No,No,High,No
تطبيق جميل وثري بالصور والإبداع وملهم للمصممين والمقبلين على بناء منازلهم,No,No,High,No
برنامج رائع للموسيقى,No,No,High,No
اتمنا تخلو الاكواد مثل كود معزوم يكونون فعالين علا طريقة ادفع عند الاستلام ويكون تخفيظ اساسي من سعر اطلب مش ارداد الا المحفظه لو صلحتو اشياين المذكوره بتكونو افظل تطبيق طلبات عندي وبكون اطلب منكم كل يوم❤طيب وش بتوو من ناحية اقتراحي,No,High,No,Low
يعطيكم العافية على جهودكم,No,No,Low,Medium
"النسخ من اليرنامج لايوجد
التسجيل من البرنامج لايمكن عن طريقه تحديد الموقع",High,Medium,No,No
كلش زين بس لو الوقت اكثر من نصف ساعه يكون احسن,No,High,Medium,No
كثرة الاعلانات مزعجة,No,High,Medium,No
"دائماً عندهم مشاكل في اضافة البطاقات 
من لا شي يحث خطاء في الطلب ولا يقبل يطلب
الاسعار غالية مقارنة باوبر وهنقرستيشن
ترتيب المطاعم جيد لكن البرنامج يحتاج الى تطوير الدفع مشكلة كبيرة وليس عندي فقط",High,Medium,Low,No
عروض عن الألعاب مباشر جميل,No,No,High,No
نامل حل المشكله,High,Low,No,No
"انا مذيع بلميكو وتم حظري 
طيب ممكن اتواصل مع حد ويحل هلمشكله وتحياتي لكم",Medium,No,No,Medium
التصاريح منكم لاتقبل من الدوريات مدري الخلل عندكم ولاعندهم,High,No,No,No
